keyword,frequency
대통령령,6411
등,4425
령,2847
기관,2040
등대통령령,1926
관리,1751
시설,1739
사업,1734
정보,1642
경우,1573
기준,1187
사항,1063
안전,893
시스템,873
산업,866
기술,865
위원회,865
법,804
금융,783
부령,776
환경,767
교육,751
업무,744
해양,732
지역,687
평가,680
지원,677
사유,667
개발,662
연구,655
국토,625
자,624
기획,619
관련,601
해당,578
조사,576
고시,574
자료,560
기업,554
법률,551
교통부,545
국토교통부,536
단체,533
사업자,521
행정,505
운영,503
교통부령,501
국토교통부령,491
폐지,489
재정부,488
기획재정부,488
검사,463
보호,460
재정부령,459
밖,459
기획재정부령,458
국가,455
기간,453
시험,439
전문,437
이상,429
장치,421
계획,421
계약,418
장관,403
복지,402
투자,400
해양수산부,399
수산부,399
규모,399
보건,395
요건,393
농림,392
변경,391
주택,390
항공,383
관계,380
장비,378
금액,378
서비스,376
장,373
대상,370
설비,368
심사,367
사용,363
공공,361
구역,361
법인,361
해양수산부령,359
부,359
수산부령,359
지정,357
환경부령,355
대통령령사유,354
표준,353
축산,352
부서,347
식품부,343
전자,343
고용,340
필요,338
통신,338
인증,337
식품부령,334
정책,328
방법,326
과,326
금융위원회,326
등록,326
의료,324
농림축산,323
축산식품부,317
제품,316
농림축산식품부,316
훈련,312
국제,310
인력,309
통상,307
공동,306
행위,306
거래,305
처리,304
축산식품부령,304
농림축산식품부령,303
인정,300
대통령령기준,297
보험,296
건설,295
등대통령령사유,295
물질,295
지방,295
선박,284
대통령령경우,283
보건복지부,281
구조,277
특별,277
서류,274
이용,273
회사,273
사람,272
것,272
교통,271
자원부,269
산업통상,268
산업통상자원부,268
통상자원부,268
대통령령사항,267
자동차,264
수,263
문화,262
공사,257
공무원,255
경우등,252
신고,247
위원회고시,245
재산,244
보건복지,242
분석,239
센터,237
토지,237
등대통령령경우,236
활동,236
자원,235
자산,235
업,232
복지부,232
소득,231
물품,231
중요,231
자원부령,230
산업통상자원부령,230
통상자원부령,230
일반,228
보건복지부령,226
데이터,225
금융위원회고시,223
총리,223
총리령,223
협력,223
국,222
설치,222
법폐지,221
에너지,221
식품,219
이하,218
조,218
관리시스템,218
기기,217
경우등대통령령,217
확인,215
사회,214
통합,213
특수,213
개인,210
근로자,210
위험,207
방송,207
건축물,204
과학,202
업자,201
장관고시,197
대통령령요건,196
도시,195
절차,195
조치,195
정비,193
행정안전부,193
안전부,193
등대통령령사항,192
령사항,192
체계,190
물,190
과제,189
팀,189
품질,189
자격,188
종합,188
중,187
해외,186
군,186
바,186
가격,185
능력,184
설계,182
사고,182
발생,181
부동산,180
처분,180
수산,179
운송,177
복지부령,177
노동부,177
철도,175
보안,175
일정,173
담당자,173
조정,172
항,171
담당관,171
개발사업,171
고용노동부,171
체육,169
행정안전부령,168
안전부령,168
정부,165
용역,165
분야,164
과정,164
기반,164
수입,164
책임자,163
신청,163
증권,163
비용,162
측량,162
제공,161
점검,161
신용,160
채권,160
차량,160
항공기,160
한국,159
기준해당,159
경영,159
사건,158
자금,156
벤처,156
활용,155
제도,155
현장,154
비율,154
외국,153
관리자,153
기구,153
제조,153
연구개발,153
통계,152
오염,152
중소기업,152
원,152
성능,151
금,151
비,151
전기,150
산림,150
목적,150
수행,150
량,150
범위,149
중요사항,148
지구,147
기관장,147
대통령령규모,147
농업,147
소방,145
생활,145
제한,145
의무,145
배출,145
경제,145
재난,145
호,144
작업,144
정보시스템,144
지급,144
총괄,144
도로,143
위탁,143
중앙,142
화물,140
규모이상,140
지도,139
과세,139
공간,139
주요,139
안전관리,138
허가,138
비행,138
과학기술,138
생산,137
심의,137
시장,137
수출,136
시간,136
개선,135
재해,135
디지털,134
범죄,134
담당,134
방지,133
적합,133
판매,133
기록,132
운용,132
감사,131
방식,131
액,131
기금,131
측정,130
공급,130
중소,129
유지,129
가스,129
규정,129
보증,128
자치,128
용기,128
상품,128
건축,127
기본,127
등기,127
급여,126
용도,125
촉진,125
발전,125
항만,125
대통령령바,124
